parameters PADDING 296, 
2323 0 12.659516000
2324 0 12.834041000
2326 0 12.934608000
2405 0 12.257678000
2406 0 12.654197000
2407 0 12.823946000
2408 0 13.020518000
2468 0 12.616724000
2469 0 12.786133000
2470 0 12.964710000
2471 0 13.098661000
2472 0 13.296022000
2544 0 12.679572000
2545 0 12.792733000
2546 0 12.991624000
2547 0 13.108512000
2548 0 13.178044000
2596 0 12.736461000
2597 0 12.839833000
2598 0 12.949706000
2599 0 13.112645000
2600 0 13.195904000
2658 0 12.638131000
2659 0 12.641474000
2660 0 12.764255000
2661 0 13.034068000
2662 0 13.125668000
2714 0 12.755360000
2715 0 12.811825000
2716 0 12.855380000
2759 0 12.658330000
2812 0 12.199020000
2813 0 12.263970000
2814 0 12.320513000
2815 0 12.369024000
2833 0 12.260714000
2910 0 11.571541000
2911 0 11.787130000
2912 0 11.851323000
2913 0 12.099164000
2926 0 12.041502000
2986 0 11.531867000
2987 0 11.650100000
2988 0 11.704976000
2989 0 11.775994000
2990 0 11.851197000
2991 0 11.946597000
2992 0 12.028643000
2993 0 12.088129000
2994 0 12.177776000
3058 0 11.600509000
3059 0 11.717459000
3060 0 11.840361000
3061 0 11.915869000
3062 0 12.019818000
3127 0 11.452612000
3128 0 11.534312000
3129 0 11.758866000
3130 0 11.908685000
3131 0 12.069520000
3200 0 11.381645000
3201 0 11.477142000
3202 0 11.587776000
3203 0 11.650296000
3255 0 11.242507000
3256 0 11.285844000
3257 0 11.362174000
3258 0 11.425388000
3283 0 11.337492000
3315 0 11.126002000
3316 0 11.268648000
3317 0 11.352126000
3318 0 11.528610000
3319 0 11.651756000
3336 0 11.585515000
3337 0 11.710983000
3338 0 11.853539000
3339 0 11.915466000
3340 0 11.978525000
3374 0 11.726244000
3375 0 11.911275000
3376 0 12.098420000
3377 0 12.275808000
3378 0 12.398313000
3425 0 12.033546000
3426 0 12.130791000
3427 0 12.273934000
3428 0 12.363648000
3429 0 12.546959000
3494 0 12.011704000
3495 0 12.136476000
3496 0 12.232066000
3497 0 12.361019000
3550 0 12.009922000
3551 0 12.105478000
3552 0 12.276186000
3553 0 12.366135000
3570 0 12.306606000
3648 0 11.640356000
3649 0 11.809801000
3650 0 12.074542000
3677 0 11.866235000
3678 0 11.989385000
3747 0 11.398127000
3748 0 11.538329000
3749 0 11.560340000
3750 0 11.595078000
3757 0 11.597167000
3815 0 11.099638000
3816 0 11.399541000
3817 0 11.509316000
3818 0 11.592670000
3819 0 11.708739000
3868 0 11.316830000
3869 0 11.373170000
3870 0 11.424200000
3871 0 11.432909000
3872 0 11.442618000
3923 0 11.111454000
3924 0 11.180556000
3925 0 11.283739000
3926 0 11.448208000
3980 0 10.984468000
3981 0 11.107548000
3982 0 11.265393000
3983 0 11.355102000
3984 0 11.464851000
4016 0 11.252505000
4017 0 11.389199000
4018 0 11.485386000
4019 0 11.647135000
4020 0 11.705279000
4086 0 11.249138000
4087 0 11.391806000
4088 0 11.575160000
4089 0 11.776890000
4090 0 11.893872000
4129 0 11.551522000
4130 0 11.621330000
4131 0 11.744841000
4132 0 11.854201000
4133 0 12.277947000
4169 0 11.986814000
4170 0 12.089943000
