--------- beginning of /dev/log/main
D/UDP-TIMING(12522): 325 0 -0.490512000
D/UDP-TIMING(12522): 326 0 -0.489653000
D/UDP-TIMING(12522): 327 0 -0.490164000
D/UDP-TIMING(12522): 328 0 -0.489137000
D/UDP-TIMING(12522): 329 0 -0.488336000
D/UDP-TIMING(12522): 330 0 -0.489585000
D/UDP-TIMING(12522): 331 0 -0.490379000
D/UDP-TIMING(12522): 332 0 -0.482259000
D/UDP-TIMING(12522): 333 0 -0.488228000
D/UDP-TIMING(12522): 334 0 -0.489920000
D/UDP-TIMING(12522): 335 0 -0.490079000
D/UDP-TIMING(12522): 336 0 -0.489955000
D/UDP-TIMING(12522): 337 0 -0.490305000
D/UDP-TIMING(12522): 338 0 -0.490429000
D/UDP-TIMING(12522): 339 0 -0.490310000
D/UDP-TIMING(12522): 340 0 -0.490166000
D/UDP-TIMING(12522): 341 0 -0.489774000
D/UDP-TIMING(12522): 342 0 -0.487398000
D/UDP-TIMING(12522): 343 0 -0.489559000
D/UDP-TIMING(12522): 344 0 -0.489169000
D/UDP-TIMING(12522): 345 0 -0.489533000
D/UDP-TIMING(12522): 346 0 -0.490497000
D/UDP-TIMING(12522): 347 0 -0.489533000
D/UDP-TIMING(12522): 348 0 -0.490013000
D/UDP-TIMING(12522): 349 0 -0.489907000
D/UDP-TIMING(12522): 350 0 -0.489845000
D/UDP-TIMING(12522): 351 0 -0.490316000
D/UDP-TIMING(12522): 352 0 -0.489522000
D/UDP-TIMING(12522): 353 0 -0.489502000
D/UDP-TIMING(12522): 354 0 -0.489377000
D/UDP-TIMING(12522): 355 0 -0.489146000
D/UDP-TIMING(12522): 356 0 -0.487698000
D/UDP-TIMING(12522): 357 0 -0.489769000
D/UDP-TIMING(12522): 358 0 -0.490417000
D/UDP-TIMING(12522): 359 0 -0.490536000
D/UDP-TIMING(12522): 360 0 -0.490672000
D/UDP-TIMING(12522): 361 0 -0.489707000
D/UDP-TIMING(12522): 362 0 -0.490877000
D/UDP-TIMING(12522): 363 0 -0.490028000
D/UDP-TIMING(12522): 364 0 -0.490043000
D/UDP-TIMING(12522): 365 0 -0.483711000
D/UDP-TIMING(12522): 366 0 -0.488455000
D/UDP-TIMING(12522): 367 0 -0.489659000
D/UDP-TIMING(12522): 368 0 -0.488789000
D/UDP-TIMING(12522): 369 0 -0.490298000
D/UDP-TIMING(12522): 370 0 -0.491009000
D/UDP-TIMING(12522): 371 0 -0.489651000
D/UDP-TIMING(12522): 372 0 -0.490292000
D/UDP-TIMING(12522): 373 0 -0.490305000
D/UDP-TIMING(12522): 374 0 -0.490307000
D/UDP-TIMING(12522): 375 0 -0.490588000
D/UDP-TIMING(12522): 376 0 -0.490691000
D/UDP-TIMING(12522): 377 0 -0.489745000
D/UDP-TIMING(12522): 378 0 -0.489744000
D/UDP-TIMING(12522): 379 0 -0.489937000
D/UDP-TIMING(12522): 380 0 -0.490165000
D/UDP-TIMING(12522): 381 0 -0.485316000
D/UDP-TIMING(12522): 382 0 -0.488984000
D/UDP-TIMING(12522): 383 0 -0.480975000
D/UDP-TIMING(12522): 384 0 -0.486978000
D/UDP-TIMING(12522): 385 0 -0.489879000
D/UDP-TIMING(12522): 386 0 -0.490060000
D/UDP-TIMING(12522): 387 0 -0.490154000
D/UDP-TIMING(12522): 388 0 -0.490260000
D/UDP-TIMING(12522): 389 0 -0.490432000
D/UDP-TIMING(12522): 390 0 -0.490688000
D/UDP-TIMING(12522): 391 0 -0.489764000
D/UDP-TIMING(12522): 392 0 -0.490893000
D/UDP-TIMING(12522): 393 0 -0.489974000
D/UDP-TIMING(12522): 394 0 -0.490096000
D/UDP-TIMING(12522): 395 0 -0.490156000
D/UDP-TIMING(12522): 396 0 -0.490420000
D/UDP-TIMING(12522): 397 0 -0.481907000
D/UDP-TIMING(12522): 398 0 -0.488024000
D/UDP-TIMING(12522): 399 0 -0.489852000
D/UDP-TIMING(12522): 400 0 -0.489146000
D/UDP-TIMING(12522): 401 0 -0.490269000
D/UDP-TIMING(12522): 402 0 -0.490527000
D/UDP-TIMING(12522): 403 0 -0.489668000
D/UDP-TIMING(12522): 404 0 -0.489188000
D/UDP-TIMING(12522): 405 0 -0.488328000
D/UDP-TIMING(12522): 406 0 -0.490293000
D/UDP-TIMING(12522): 407 0 -0.490502000
D/UDP-TIMING(12522): 408 0 -0.490677000
D/UDP-TIMING(12522): 409 0 -0.489675000
D/UDP-TIMING(12522): 410 0 -0.490876000
D/UDP-TIMING(12522): 411 0 -0.489028000
D/UDP-TIMING(12522): 412 0 -0.489450000
D/UDP-TIMING(12522): 413 0 -0.489628000
D/UDP-TIMING(12522): 414 0 -0.489372000
D/UDP-TIMING(12522): 415 0 -0.485880000
D/UDP-TIMING(12522): 416 0 -0.490621000
D/UDP-TIMING(12522): 417 0 -0.490734000
D/UDP-TIMING(12522): 418 0 -0.489900000
D/UDP-TIMING(12522): 419 0 -0.491020000
D/UDP-TIMING(12522): 420 0 -0.489452000
D/UDP-TIMING(12522): 421 0 -0.489691000
D/UDP-TIMING(12522): 422 0 -0.489441000
D/UDP-TIMING(12522): 423 0 -0.489467000
D/UDP-TIMING(12522): 424 0 -0.490700000
D/UDP-TIMING(12522): 425 0 -0.490595000
D/UDP-TIMING(12522): 426 0 -0.489923000
D/UDP-TIMING(12522): 427 0 -0.490343000
D/UDP-TIMING(12522): 428 0 -0.489410000
D/UDP-TIMING(12522): 429 0 -0.490227000
D/UDP-TIMING(12522): 430 0 -0.490238000
D/UDP-TIMING(12522): 431 0 -0.490221000
D/UDP-TIMING(12522): 432 0 -0.488616000
D/UDP-TIMING(12522): 433 0 -0.490005000
D/UDP-TIMING(12522): 434 0 -0.488872000
D/UDP-TIMING(12522): 435 0 -0.489352000
D/UDP-TIMING(12522): 436 0 -0.490168000
D/UDP-TIMING(12522): 437 0 -0.489252000
D/UDP-TIMING(12522): 438 0 -0.489534000
D/UDP-TIMING(12522): 439 0 -0.490277000
D/UDP-TIMING(12522): 440 0 -0.489954000
D/UDP-TIMING(12522): 441 0 -0.490020000
D/UDP-TIMING(12522): 442 0 -0.490101000
D/UDP-TIMING(12522): 443 0 -0.486467000
D/UDP-TIMING(12522): 444 0 -0.489487000
D/UDP-TIMING(12522): 445 0 -0.490053000
D/UDP-TIMING(12522): 446 0 -0.488841000
D/UDP-TIMING(12522): 447 0 -0.491017000
D/UDP-TIMING(12522): 448 0 -0.484613000
D/UDP-TIMING(12522): 449 0 -0.490531000
D/UDP-TIMING(12522): 450 0 -0.481901000
