--------- beginning of /dev/log/system
I/ActivityManager(  182): Start proc com.samsung.syncservice for service com.samsung.syncservice/.SyncmlService: pid=12539 uid=1000 gids={1015, 3002, 3001, 3003, 3007}
--------- beginning of /dev/log/main
I/SyncmlService(12539): onCreate 
I/        (12539): dm_register_ext_handler_connector
I/ActivityManager(  182): Start proc com.android.bip for service com.android.bip/.BIPService: pid=12554 uid=10001 gids={3003}
D/UDP-TIMING(12522): 289 0 -0.467861000
D/UDP-TIMING(12522): 290 0 -0.468932000
D/UDP-TIMING(12522): 291 0 -0.470061000
D/UDP-TIMING(12522): 292 0 -0.471221000
D/UDP-TIMING(12522): 293 0 -0.472359000
D/UDP-TIMING(12522): 294 0 -0.473567000
D/UDP-TIMING(12522): 295 0 -0.474672000
D/UDP-TIMING(12522): 296 0 -0.475802000
D/UDP-TIMING(12522): 297 0 -0.476946000
D/UDP-TIMING(12522): 298 0 -0.478082000
D/UDP-TIMING(12522): 299 0 -0.479208000
D/UDP-TIMING(12522): 300 0 -0.480375000
D/UDP-TIMING(12522): 301 0 -0.481519000
D/UDP-TIMING(12522): 302 0 -0.482646000
D/UDP-TIMING(12522): 303 0 -0.376130000
D/UDP-TIMING(12522): 304 0 -0.376355000
D/UDP-TIMING(12522): 305 0 -0.377336000
D/UDP-TIMING(12522): 306 0 -0.378408000
D/UDP-TIMING(12522): 307 0 -0.379479000
D/UDP-TIMING(12522): 308 0 -0.380565000
D/UDP-TIMING(12522): 309 0 -0.381641000
D/UDP-TIMING(12522): 310 0 -0.382654000
D/UDP-TIMING(12522): 311 0 -0.383737000
D/UDP-TIMING(12522): 312 0 -0.384808000
D/UDP-TIMING(12522): 313 0 -0.385877000
D/UDP-TIMING(12522): 314 0 -0.386767000
D/UDP-TIMING(12522): 315 0 -0.387715000
D/UDP-TIMING(12522): 316 0 -0.388764000
D/UDP-TIMING(12522): 317 0 -0.389813000
D/UDP-TIMING(12522): 318 0 -0.390655000
D/UDP-TIMING(12522): 319 0 -0.391672000
D/UDP-TIMING(12522): 320 0 -0.392758000
D/UDP-TIMING(12522): 321 0 -0.393725000
D/UDP-TIMING(12522): 322 0 -0.394585000
D/UDP-TIMING(12522): 323 0 -0.395628000
D/UDP-TIMING(12522): 324 0 -0.396703000
D/UDP-TIMING(12522): 325 0 -0.397756000
D/UDP-TIMING(12522): 326 0 -0.398777000
D/UDP-TIMING(12522): 327 0 -0.399730000
D/UDP-TIMING(12522): 328 0 -0.400599000
D/UDP-TIMING(12522): 329 0 -0.401616000
D/UDP-TIMING(12522): 330 0 -0.402559000
D/UDP-TIMING(12522): 331 0 -0.403553000
D/UDP-TIMING(12522): 332 0 -0.404469000
D/UDP-TIMING(12522): 333 0 -0.405326000
D/UDP-TIMING(12522): 334 0 -0.406319000
D/UDP-TIMING(12522): 335 0 -0.407303000
D/UDP-TIMING(12522): 336 0 -0.408259000
D/UDP-TIMING(12522): 337 0 -0.409275000
D/UDP-TIMING(12522): 338 0 -0.410158000
D/UDP-TIMING(12522): 339 0 -0.411214000
D/UDP-TIMING(12522): 340 0 -0.412211000
D/UDP-TIMING(12522): 341 0 -0.413214000
D/UDP-TIMING(12522): 342 0 -0.414251000
D/UDP-TIMING(12522): 343 0 -0.415207000
D/UDP-TIMING(12522): 344 0 -0.416199000
D/UDP-TIMING(12522): 345 0 -0.417172000
D/UDP-TIMING(12522): 346 0 -0.418177000
D/UDP-TIMING(12522): 347 0 -0.418873000
D/UDP-TIMING(12522): 348 0 -0.419773000
D/UDP-TIMING(12522): 349 0 -0.420817000
D/UDP-TIMING(12522): 350 0 -0.421597000
D/UDP-TIMING(12522): 351 0 -0.422593000
D/UDP-TIMING(12522): 352 0 -0.423593000
D/UDP-TIMING(12522): 353 0 -0.424620000
D/UDP-TIMING(12522): 354 0 -0.425370000
D/UDP-TIMING(12522): 355 0 -0.426382000
D/UDP-TIMING(12522): 356 0 -0.427427000
D/UDP-TIMING(12522): 357 0 -0.428209000
D/UDP-TIMING(12522): 358 0 -0.429035000
D/UDP-TIMING(12522): 359 0 -0.430034000
D/UDP-TIMING(12522): 360 0 -0.430800000
D/UDP-TIMING(12522): 361 0 -0.431691000
D/UDP-TIMING(12522): 362 0 -0.432628000
D/UDP-TIMING(12522): 363 0 -0.433411000
D/UDP-TIMING(12522): 364 0 -0.434235000
D/UDP-TIMING(12522): 365 0 -0.435248000
D/UDP-TIMING(12522): 366 0 -0.436295000
D/UDP-TIMING(12522): 367 0 -0.436972000
D/UDP-TIMING(12522): 368 0 -0.438016000
D/UDP-TIMING(12522): 369 0 -0.439090000
D/UDP-TIMING(12522): 370 0 -0.439738000
D/UDP-TIMING(12522): 371 0 -0.440724000
D/UDP-TIMING(12522): 372 0 -0.441744000
D/UDP-TIMING(12522): 373 0 -0.442385000
D/UDP-TIMING(12522): 374 0 -0.443368000
D/UDP-TIMING(12522): 375 0 -0.443993000
D/UDP-TIMING(12522): 376 0 -0.444990000
D/UDP-TIMING(12522): 377 0 -0.446011000
D/UDP-TIMING(12522): 378 0 -0.446658000
D/UDP-TIMING(12522): 379 0 -0.447638000
D/UDP-TIMING(12522): 380 0 -0.447677000
D/UDP-TIMING(12522): 381 0 -0.447930000
D/UDP-TIMING(12522): 382 0 -0.449001000
D/UDP-TIMING(12522): 383 0 -0.450069000
D/UDP-TIMING(12522): 384 0 -0.451152000
D/UDP-TIMING(12522): 385 0 -0.452012000
D/UDP-TIMING(12522): 386 0 -0.453092000
D/UDP-TIMING(12522): 387 0 -0.454168000
D/UDP-TIMING(12522): 388 0 -0.455239000
D/UDP-TIMING(12522): 389 0 -0.456352000
D/UDP-TIMING(12522): 390 0 -0.457213000
D/UDP-TIMING(12522): 391 0 -0.458311000
D/UDP-TIMING(12522): 392 0 -0.459380000
D/UDP-TIMING(12522): 393 0 -0.460447000
D/UDP-TIMING(12522): 394 0 -0.461555000
D/UDP-TIMING(12522): 395 0 -0.462472000
D/UDP-TIMING(12522): 396 0 -0.463457000
D/UDP-TIMING(12522): 397 0 -0.464535000
D/UDP-TIMING(12522): 398 0 -0.465672000
D/UDP-TIMING(12522): 399 0 -0.466771000
D/UDP-TIMING(12522): 400 0 -0.467834000
D/UDP-TIMING(12522): 401 0 -0.468689000
D/UDP-TIMING(12522): 402 0 -0.469767000
D/UDP-TIMING(12522): 403 0 -0.470841000
D/UDP-TIMING(12522): 404 0 -0.371114000
D/UDP-TIMING(12522): 405 0 -0.371507000
D/UDP-TIMING(12522): 406 0 -0.372554000
D/UDP-TIMING(12522): 407 0 -0.373695000
D/UDP-TIMING(12522): 408 0 -0.374851000
D/UDP-TIMING(12522): 409 0 -0.376048000
D/UDP-TIMING(12522): 410 0 -0.377213000
D/UDP-TIMING(12522): 411 0 -0.378409000
D/UDP-TIMING(12522): 412 0 -0.379600000
D/UDP-TIMING(12522): 413 0 -0.380703000
D/UDP-TIMING(12522): 414 0 -0.381885000
D/UDP-TIMING(12522): 415 0 -0.383076000
D/UDP-TIMING(12522): 416 0 -0.384245000
D/UDP-TIMING(12522): 417 0 -0.385438000
D/UDP-TIMING(12522): 418 0 -0.386635000
D/UDP-TIMING(12522): 419 0 -0.387795000
D/UDP-TIMING(12522): 420 0 -0.388982000
D/UDP-TIMING(12522): 421 0 -0.390136000
D/UDP-TIMING(12522): 422 0 -0.391328000
D/UDP-TIMING(12522): 423 0 -0.392519000
D/UDP-TIMING(12522): 424 0 -0.393670000
D/UDP-TIMING(12522): 425 0 -0.394855000
D/UDP-TIMING(12522): 426 0 -0.396046000
D/UDP-TIMING(12522): 427 0 -0.397207000
D/UDP-TIMING(12522): 428 0 -0.398387000
D/UDP-TIMING(12522): 429 0 -0.399523000
D/UDP-TIMING(12522): 430 0 -0.400667000
D/UDP-TIMING(12522): 431 0 -0.401826000
D/UDP-TIMING(12522): 432 0 -0.402951000
D/UDP-TIMING(12522): 433 0 -0.404087000
D/UDP-TIMING(12522): 434 0 -0.405260000
D/UDP-TIMING(12522): 435 0 -0.406396000
D/UDP-TIMING(12522): 436 0 -0.407551000
D/UDP-TIMING(12522): 437 0 -0.408643000
D/UDP-TIMING(12522): 438 0 -0.409766000
D/UDP-TIMING(12522): 439 0 -0.410882000
D/UDP-TIMING(12522): 440 0 -0.412051000
D/UDP-TIMING(12522): 441 0 -0.413135000
D/UDP-TIMING(12522): 442 0 -0.414266000
D/UDP-TIMING(12522): 443 0 -0.415363000
D/UDP-TIMING(12522): 444 0 -0.416518000
D/UDP-TIMING(12522): 445 0 -0.417676000
D/UDP-TIMING(12522): 446 0 -0.418803000
D/UDP-TIMING(12522): 447 0 -0.419954000
D/UDP-TIMING(12522): 448 0 -0.421080000
D/UDP-TIMING(12522): 449 0 -0.422115000
D/UDP-TIMING(12522): 450 0 -0.423195000
D/UDP-TIMING(12522): 451 0 -0.424245000
D/UDP-TIMING(12522): 452 0 -0.425288000
D/UDP-TIMING(12522): 453 0 -0.426461000
D/UDP-TIMING(12522): 454 0 -0.427596000
D/UDP-TIMING(12522): 455 0 -0.428715000
D/UDP-TIMING(12522): 456 0 -0.429883000
D/UDP-TIMING(12522): 457 0 -0.431024000
D/UDP-TIMING(12522): 458 0 -0.432162000
D/UDP-TIMING(12522): 459 0 -0.433194000
D/UDP-TIMING(12522): 460 0 -0.434244000
D/UDP-TIMING(12522): 461 0 -0.435376000
D/UDP-TIMING(12522): 462 0 -0.436474000
D/UDP-TIMING(12522): 463 0 -0.437659000
D/UDP-TIMING(12522): 464 0 -0.438822000
D/UDP-TIMING(12522): 465 0 -0.439962000
D/UDP-TIMING(12522): 466 0 -0.441106000
D/UDP-TIMING(12522): 467 0 -0.442205000
D/UDP-TIMING(12522): 468 0 -0.443340000
D/UDP-TIMING(12522): 469 0 -0.444524000
D/UDP-TIMING(12522): 470 0 -0.445680000
D/UDP-TIMING(12522): 471 0 -0.446823000
D/UDP-TIMING(12522): 472 0 -0.447990000
D/UDP-TIMING(12522): 473 0 -0.449134000
D/UDP-TIMING(12522): 474 0 -0.450301000
D/UDP-TIMING(12522): 475 0 -0.451467000
D/UDP-TIMING(12522): 476 0 -0.452525000
D/UDP-TIMING(12522): 477 0 -0.453632000
D/UDP-TIMING(12522): 478 0 -0.455528000
D/UDP-TIMING(12522): 479 0 -0.456621000
D/UDP-TIMING(12522): 480 0 -0.457714000
D/UDP-TIMING(12522): 481 0 -0.459295000
D/UDP-TIMING(12522): 482 0 -0.460414000
D/UDP-TIMING(12522): 483 0 -0.461530000
D/UDP-TIMING(12522): 484 0 -0.462611000
D/UDP-TIMING(12522): 485 0 -0.463738000
D/UDP-TIMING(12522): 486 0 -0.464864000
D/UDP-TIMING(12522): 487 0 -0.465842000
D/UDP-TIMING(12522): 488 0 -0.466858000
D/UDP-TIMING(12522): 489 0 -0.464563000
D/UDP-TIMING(12522): 490 0 -0.465604000
D/UDP-TIMING(12522): 491 0 -0.466653000
D/UDP-TIMING(12522): 492 0 -0.467755000
D/UDP-TIMING(12522): 493 0 -0.468780000
D/UDP-TIMING(12522): 494 0 -0.469840000
D/UDP-TIMING(12522): 495 0 -0.470879000
D/UDP-TIMING(12522): 496 0 -0.471891000
D/UDP-TIMING(12522): 497 0 -0.472992000
D/UDP-TIMING(12522): 498 0 -0.474003000
D/UDP-TIMING(12522): 499 0 -0.475072000
D/UDP-TIMING(12522): 500 0 -0.476139000
D/UDP-TIMING(12522): 501 0 -0.477153000
D/UDP-TIMING(12522): 502 0 -0.478220000
D/UDP-TIMING(12522): 503 0 -0.479286000
D/UDP-TIMING(12522): 504 0 -0.480323000
D/UDP-TIMING(12522): 505 0 -0.365475000
D/UDP-TIMING(12522): 506 0 -0.366071000
D/UDP-TIMING(12522): 507 0 -0.367054000
D/UDP-TIMING(12522): 508 0 -0.368148000
D/UDP-TIMING(12522): 509 0 -0.369276000
D/UDP-TIMING(12522): 510 0 -0.370370000
D/UDP-TIMING(12522): 511 0 -0.371561000
D/UDP-TIMING(12522): 512 0 -0.372734000
D/UDP-TIMING(12522): 513 0 -0.373936000
D/UDP-TIMING(12522): 514 0 -0.375122000
D/UDP-TIMING(12522): 515 0 -0.376278000
D/UDP-TIMING(12522): 516 0 -0.377485000
D/UDP-TIMING(12522): 517 0 -0.378659000
D/UDP-TIMING(12522): 518 0 -0.379854000
D/UDP-TIMING(12522): 519 0 -0.381049000
D/UDP-TIMING(12522): 520 0 -0.382225000
D/UDP-TIMING(12522): 521 0 -0.383423000
D/UDP-TIMING(12522): 522 0 -0.384600000
D/UDP-TIMING(12522): 523 0 -0.385811000
D/UDP-TIMING(12522): 524 0 -0.387013000
D/UDP-TIMING(12522): 525 0 -0.388184000
D/UDP-TIMING(12522): 526 0 -0.389383000
D/UDP-TIMING(12522): 527 0 -0.390585000
D/UDP-TIMING(12522): 528 0 -0.391740000
D/UDP-TIMING(12522): 529 0 -0.392947000
D/UDP-TIMING(12522): 530 0 -0.394179000
D/UDP-TIMING(12522): 531 0 -0.395384000
D/UDP-TIMING(12522): 532 0 -0.396580000
D/UDP-TIMING(12522): 533 0 -0.397772000
D/UDP-TIMING(12522): 534 0 -0.398933000
D/UDP-TIMING(12522): 535 0 -0.400119000
D/UDP-TIMING(12522): 536 0 -0.401290000
D/UDP-TIMING(12522): 537 0 -0.402492000
D/UDP-TIMING(12522): 538 0 -0.403705000
D/UDP-TIMING(12522): 539 0 -0.404922000
D/UDP-TIMING(12522): 540 0 -0.406120000
